job_title;company_name;location;job_type;experience_level;education_req;salary_range;job_requirements;job_responsibilities;posted_date;source_platform
Health Informatics Training Instructor;PT Daya Medika Pratama;Jakarta Pusat;Tidak Disebutkan;3 Tahun;S2, S1;Rp 7.500.000 - Rp 15.000.000;"Educational Background
 Required: A bachelor's degree in health informatics, healthcare IT, computer science, or a closely related field.
 Preferred: A master’s degree or higher in health informatics, healthcare administration, or a related technical field, with a focus on digital health and health data management.
 Professional Experience
 Required:
 Minimum of 3–5 years of hands-on experience working with digital health systems such as EMR (Electronic Medical Records), Open EHR, ERP systems (Odoo, Microsoft Dynamics), or hospital IT platforms.
 Experience in integrating health data systems as part of digital transformation in healthcare facilities.
 Practical experience in the healthcare industry, particularly in hospitals or healthcare-focused IT departments, with a strong understanding of data privacy and interoperability requirements.
 Preferred: Experience as a consultant or instructor in the healthcare IT sector, with a proven record of implementing systems aligned with digital health transformation strategies.
 Subject Matter Expertise
 Required:
 Deep understanding of key subjects, including:
 Electronic Medical Records (EMR)
 Open-source health information systems (e.g., Open EHR)
 Hospital ERP systems (Odoo, Microsoft Dynamics)
 Data integration and interoperability standards (e.g., HL7 FHIR, API for healthcare services)
 Telemedicine technologies and health data analytics, in line with Kemenkes' strategy for telemedicine expansion.
 Preferred: Experience with implementing or managing integrated health data systems in real-world environments, with a focus on national health platforms or large-scale data analytics in healthcare.";"Instructional Skills
 Required:
 Previous experience teaching or training, particularly in a boot camp or webinar setting.
 Strong ability to break down complex technical subjects related to digital health transformation into clear, understandable segments.
 Excellent communication and presentation skills, both for live and recorded sessions, with an emphasis on digital health literacy.
 Preferred: Certification in adult education or instructional design, particularly in digital health topics.
 Technical Skills
 Required:
 Familiarity with teaching tools such as LMS (Learning Management Systems), webinar platforms (Zoom, Microsoft Teams), and content creation tools.
 Expertise in health data platforms and cloud-based technologies for data management, including Big Data analytics.
 Knowledge of digital health platforms such as the Indonesia Health Services (IHS).
 Preferred: Knowledge of online learning best practices, including student engagement techniques and assessment methods in the digital health space.
 Collaboration and Industry Connections
 Required: Ability to work with educational partners (such as universities, certification bodies, or healthcare training institutes) to develop curriculum aligned with national digital health transformation strategies.
 Preferred: Strong professional network within the healthcare or health informatics community, which can support program outreach and development, especially regarding the Digital Transformation Strategy of Kemenkes.
 Soft Skills
 Required: Strong interpersonal skills, ability to mentor students, adapt teaching styles to different audiences, and remain patient and approachable.
 Preferred: Leadership experience in managing learning programs or teams, with demonstrated problem-solving skills in digital health challenges.";2026-05-19;Karir.com
quantity survey;PT Grha Sinar Abadi;Surabaya;Tidak Disebutkan;1 Tahun;S1, D3;Rp 4.000.000 - Rp 5.500.000;"Teliti , jujur , cekatan dan terorganisir
 Mampu membaca Dokumen Tender LPSE / Tender Swasta
 Menguasai Program Ms. Office ( Excel, Word, Powerpoint, Nitro, dan lainnya)
 Menguasai AUTOCAD & SKETCHUP Mampu Membuat RAB, RAPP
 Mampu membuat perhitungan Volume Hasil Pekerjaan
 Mampu Membaca dan Memahami Gambar Rencana Kerja
 Siap Bekerja Lembur/ Bekerja dihari Minggu/Tanggal Merah
 Siap Bekerja dibawah Tekanan
 Displin, Tanggung Jawab atas pekerjaan
 Siap ditempatkan ke Luar Kota
 Dapat Bekerja Individu dan Maupun Team";"Pembuatan dan Pengontrolan method of statement dengan sub kontraktor / mandor
 Perhitungan volume upah thd gbr pelaksanaan ( opname )
 Pencarian mandor atau sub kontraktor
 Pengecekan laporan harian ( fabrikasi dan instalasi )
 Sidak lapangan croscek volume terpasang
 Perhitungan satuan harga pelaksanaan thd gbr pelaksanaan
 Pengurusan semua polish asuransi ( thd pekerja )
 Compare harga Mandor dan sub kontraktor ( Negosiasi )
 Pengontrolan progress terhadap kemajuan pekerjaan mandor dan atau sub kontraktor
 Pembuatan risalah pembayaran terhadap Sub kontraktor
 Pembuatan laporan upah ( compare harga & volume ) terhadap RAP
 Evaluasi mutu mandor dan subkontraktor
 Evaluasi harga satuan pekerjaan terhadap pelaksanaan";2026-05-18;Karir.com
Database Administrator (Hospital - SQL Server);PT Daya Medika Pratama;Bandung;Tidak Disebutkan;2 Tahun;S1;Rp 6.000.000 - Rp 8.000.000;"Qualifications 1. Two to three years professional level experience in a computer systems operations or support position 2. Baccalaureate Degree in computer science, information systems management, or a closely related field preferred. Prior experience may be substituted for Baccalaureate Degree 3. Two to three years prior experience with office automation applications and personal computers; related office support software (i.e. Work, Excel, PowerPoint, Access and Outlook) and other software applications that are unique to each department 4. Knowledge of current industry standard database tools, utilities, operating systems software, and standard automation software 5. Knowledge of relational database administration concepts, with applicable knowledge of industry standard tools 6. Knowledge of wireless hardware and software concepts 7. Knowledge of computer hardware architecture, characteristics, troubleshooting, and repair techniques 8. HIPAA related standards and data sensitivity issues 9. Ability to demonstrate and maintain effective working relationships with management, staff, vendors, and other hospital information systems staff 10. Ability to design procedural guidelines and application documentation 11. Ability to effectively communicate both orally and in writing 12. Ability to troubleshoot an array of systems as required to isolate and diagnose problems 13. Ability to provide understandable technical support to management and staff 14. Ability to configure client/server services in and apart of the existing Active Directive environment";"Job Summary The Database Administrator is responsible for maintaining and updating integrated systems; reviews technical issues and recommends solutions; designs and directs implementation of enhancements and revised functions, and develops complex solutions for integrated systems. Duties 1. Analyzes trends and issues; resolves concerns and problems of user community’ interprets concerns, defines desired results, implements solutions, and recommends direction of new I.S. strategies 2. Assures functionality, compatibility and stability of assigned systems and associated network devices. Configures client servers for optimum system performance 3. Within an Active Directory network, evaluates, tests, implements approved Group Policies 4. Creates and updates Hospital internal and external websites, creates web pages, analyzes website use, makes recommendations and implement solutions 5. Assures proper integration with other computer systems’ coordinates work necessary to meet requirements 6. Evaluates new hardware, software and related equipment 7. Trouble-shoots network as required to isolate and diagnose semi-complex system and network problems 8. Acts as Hospital Data Base Administrator, offering assistance and guidance on all SQL DB applications 9. Works with outside Business Partners in establishing secure data transfer and data access connections via VPN or pre-established secure sites 10. Configures and installs network devices and peripherals as assigned 11. Provides assistance in enhancing technical skills within the I.S. department 12. Participates in programming activities such as software implementation and maintenance: analyze, test, and makes recommendations on alternative equipment or software configurations 13. Performs database administration and problem analysis of database software as necessary 14. Performs upgrades on various database installations, including server and client side applications 15. Assists with installation, configuration, and maintenance of the organization’s LAN workstations 16. Participates in installation of various wireless technology products and the decision process regarding appropriate equipment for each wireless technology, according to the desired application of that technology. Implement security of said wireless installations. 17. Provide troubleshooting and support to end users of wireless products 18. Confer and consult with staff and vendors as required 19. Answer user questions and resolve user problems related to the use and operation of automated information systems 20. Assures the functionality, stability, and compatibility of assigned systems and/or associated network devices 21. Performs other duties as assigned";2026-05-19;Karir.com
Store Koordinator;PT Wynfield Global Ventures;Bandung;Tidak Disebutkan;2 Tahun;S1;Tidak dicantumkan;"Pria/Wanita, maks. 35 tahun
 Minimal pendidikan S1
 Berpengalaman di bidangnya minimal 2 tahun
 Dapat bekerja individu maupun tim
 Teliti, jujur, dan cekatan
 Domisili Bandung";-;2026-05-18;Karir.com
Fashion Designer;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;2 Tahun;S1, D3;Tidak dicantumkan;"Usia maximum 30 tahun
 Pendidikan minimal D3 fashion design
 Diutamakan memiliki pengalaman kerja di bidang fashion minimal 2 tahun
 Mengerti dan memahami perkembangan trend fashion dan selera konsumen
 Mampu memprediksi trend forcast
 Memiliki pengetahuan fabric, pattern, printing
 kreatif, inovatif, disiplin, pekerja keras, bisa bekerja dalam team maupun individual
 Bisa bekerja di bawah tekanan dan deadline
 Domisili Bandung";-;2026-05-28;Karir.com
Administrative Staff;PT Surya Toto Indonesia Tbk;Prov. DKI-Jakarta;Tidak Disebutkan;1 Tahun;S1;Tidak dicantumkan;"Minimum bachelor's degree in any field from reputable university.
 Minimum 2 years of experiences in the same field (fresh graduated are welcome to apply).
 Fluent in English (written and spoken).
 Proficient in Microsoft Office (familiar with excel formulas is a plus).
 Uphold work ethics, professional integrity, detail oriented, well-organized, and hardworking.
 Excellent communication & interpersonal skills.
 Good at time management.
 Dress neatly.";"Assist in daily administrative tasks.
 Document Controller
 Other related duties as assigned.";2026-05-19;Karir.com
Sales Team Leader;PT ARC Teknologi;Jakarta Pusat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 5.396.761 - Rp 7.500.000;"experience in sales; experience in managing remote teams of 10 or more people; data analyst skills; negotiation and motivational skills; English Level B1.";"Build a remote sales process; Monitor and improve employee efficiency, motivate employees; Write reports on departmental performance; Take part in the development and automation of sales processes; Build a knowledge base and organizing soft skill and hard skill training; Support new employees.";2026-05-19;Karir.com
Client Relationship (for active call);PT ARC Teknologi;Jakarta Pusat;Tidak Disebutkan;1 Tahun;S1, Apa Saja;Tidak dicantumkan;Minimal Diploma III atau S1 di bidang apapun Memiliki kemampuan komunikasi yang baik Familiar menggunakan komputer Ramah saat bekerja Lebih diutamakan memiliki kemampuan bahasa Inggris minimal pasif;Menjalin komunikasi yang efektif dan membangun hubungan dengan klien. Memahami semua layanan dan program yang dijalankan perusahaan dan selalu mengupdate informasi terkini. Secara aktif mengkomunikasikan layanan dan program perusahaan kepada klien melalui telepon, email, chat, dll. Menangani kendala dan memberikan solusi secara efektif.;2026-05-19;Karir.com
Sales Supervisor - Jakarta;PT King Sun Indo Utama;Jakarta Pusat;Tidak Disebutkan;5 Tahun;S1;Tidak dicantumkan;1. Lancar berbahasa mandarin lisan dan tulisan ( 聽/說/讀/寫 ) 2. Memiliki pengalaman dalam memimpin team marketing 3. Memiliki pengalaman menjadi sales marketing 4. Mengerti akan alat - alat teknik. 5. Minimal sudah vaksin 1 & 2 6. Pendidikan : Sarjana S1 ke atas;1. Memimpin dan bertanggung jawab terhadap seluruh proses kegiatan marketing agar target perusahaan tercapai 2. Membuat Laporan bulanan target team marketing;2026-05-19;Karir.com
Business Development Associate;PT ARC Teknologi;Jakarta Pusat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 4.000.000 - Rp 6.000.000;"We are seeking an energetic and proactive Business Development Associate to join our team. This position will play a key role in expanding our client network, establishing strategic partnerships, and supporting the company's business growth. Requirements
 Minimum Bachelor's degree in any major (preferably Business, Management, or similar).
 Minimum 1 year of work experience in business development, sales, or partnerships (fresh graduates are welcome).
 Strong communication and negotiation skills.
 Target- and solution-oriented.
 Able to work independently and in a team.
 Strong market analysis and networking skills.
 Proficient in Microsoft Office/Google Workspace; CRM is preferred.
 Proactive, creative, and adaptable to a dynamic environment.";"Identify new market opportunities for the company's products/services.
 Conduct market and competitor research to support business strategy.
 Help build and maintain strong relationships with clients, partners, and other stakeholders.
 Support negotiation processes and develop partnership proposals.
 Coordinate with internal teams (marketing, sales, etc.) to execute business development strategies.
 Achieve established targets and KPIs for business development.
 Regularly report business progress to superiors. Benefit
 Holiday allowance
 Annual leave
 Incentives
 Different schedules and different part-time working hours are possible";2026-05-19;Karir.com
Financial Department Manager;PT ARC Teknologi;Jakarta Pusat;Tidak Disebutkan;2 Tahun;S2, S1;Rp 10.000.000 - Rp 15.000.000;Pendidikan tinggi di bidang keuangan dan ekonomi. Memiliki pengalaman menggunakan Remote Banking Services (RBS). Keterampilan Excel yang kuat (analisis data, modeling, laporan keuangan). Menguasai bahasa Inggris minimal level Upper-Intermediate (mampu berkomunikasi lisan & tulisan secara profesional).;Melakukan manajemen akuntansi serta menyusun laporan manajemen (cash flow statement, income statement, dan balance sheet manajemen). Mengelola arus kas perusahaan dan melakukan kontrol cash flow. Melakukan perencanaan dan analisis aktivitas finansial & ekonomi perusahaan, termasuk mengembangkan strategi alokasi dana. Menyusun regulasi, kebijakan, dan algoritma terkait aktivitas keuangan perusahaan.;2026-05-19;Karir.com
Sales Representative;Perusahaan dirahasiakan;Jakarta Pusat;Tidak Disebutkan;2 Tahun;Apa Saja;Rp 4.000.000 - Rp 6.000.000;"We are looking for a dynamic and results-driven Sales Representative to join our growing team! If you thrive in a fast-paced environment, love connecting with people, and have a passion for closing deals, this is the perfect role for you.
 
 Requirements:
 Proven experience in sales, telemarketing, or a customer-facing role.
 Excellent communication and interpersonal skills.
 Target-driven mindset with the ability to work independently.
 Strong negotiation and closing skills.
 High school diploma or equivalent; further education is a plus.";"Promote and sell company products/services to potential customers.
 Conduct outbound calls, schedule meetings, and follow up with leads.
 Build and maintain strong relationships with clients.
 Negotiate deals and ensure customer satisfaction.
 Achieve sales targets and report on performance.";2026-05-19;Karir.com
Sales Specialist;Perusahaan dirahasiakan;Jakarta Pusat;Tidak Disebutkan;2 Tahun;S1, Apa Saja;Rp 12.000.000 - Rp 14.000.000;"We are looking for a passionate and results-oriented Sales Specialist to join our growing team. If you have strong communication skills, a knack for identifying customer needs, and a drive to close deals, this is your opportunity to thrive in a dynamic sales environment. Requirements The ability to speak, listen, and write clearly and persuasively to convey information and build trust. Able to reach mutually beneficial agreements by overcoming customer objections. Possess in-depth knowledge of the product or service being offered. Able to analyze market data and sales results to make strategic decisions. Able to manage time efficiently to complete tasks and meet targets on time. Able to understand and understand customer needs to build long-term relationships. Proficient in using customer relationship management (CRM) systems and other supporting technologies. Able to handle challenges, rejection, and high work pressure. A business or management degree is preferred; work experience in sales is also a plus.";Fully responsible for achieving the company's monthly and annual sales targets. Build and maintain strong relationships with customers (new and existing) and provide exceptional customer service. Understand consumer needs, desires, and market potential to offer appropriate solutions. Contribute to the development of sales strategies and identify new business opportunities. Explain the company's product or service specifications in detail to potential customers. Communicate and negotiate with clients to reach profitable agreements, and prepare documents such as proposals and contracts. Create and present sales reports, and review sales data for further analysis. Handle and resolve customer complaints effectively.;2026-05-19;Karir.com
Affiliate Onboarding Activation Expert;Perusahaan dirahasiakan;Jakarta Pusat;Tidak Disebutkan;2 Tahun;S1, Apa Saja;Tidak dicantumkan;"We are hiring for an Affiliate Onboarding Activation Expert who will play a crucial role in managing, optimizing, and accelerating the onboarding and activation process for our affiliate partners. If you have experience in affiliate marketing, are detail-oriented, and able to build strong relationships with a wide range of people, we'd love to meet you! Requirements
 Minimum Bachelor's degree (Marketing, Management, Communications, or a related field is preferred).
 Minimum 2 years of experience in affiliate marketing, partnerships, or customer onboarding.
 Understanding the workflow of affiliate networks/platforms (such as Impact, Partnerize, Refersion, etc.) is a plus.
 Strong verbal and written communication skills (Indonesian & English).
 Solution-oriented, detail-oriented, and results-oriented.
 Able to work independently and in a team.
 Strong training and presentation skills.
 Tech-savvy and quick to learn new tools/software.";"Manage the onboarding process for new affiliates, from registration to being ready to promote the company's products/services.
 Create, update, and optimize onboarding materials such as guides, video tutorials, and FAQs.
 Provide training, consultation, and support to new affiliates to ensure they understand marketing tools and strategies.
 Design activation strategies to encourage affiliates to become active faster and more productive early on.
 Analyze new affiliate performance data and provide recommendations for improvement.
 Collaborate with the marketing and partnership teams to create incentive programs and increase affiliate engagement.
 Identify bottlenecks in the onboarding process and offer innovative solutions to improve effectiveness.
 Benefit
 
 Holiday allowance
 Annual leave
 Incentives
 Different schedules and different part-time working hours are possible";2026-05-19;Karir.com
Sales Engineer (Sparepart Mining);PT Imecon Teknindo;Jakarta Selatan;Tidak Disebutkan;2 Tahun;S1, D3;Rp 5.000.000 - Rp 8.000.000;"Pendidikan min D3 semua jurusan
 Berpengalaman di bidang Sales Marketing / Sales Engineer di Perusahaan Pertambangan Memiliki leadership yang baik
 Memiliki attitude & komunikasi yang baik
 Familiar dengan Microsoft Office
 Dan target oriented";"Memahami Produk atau Layanan
 Memperoleh pengetahuan mendalam tentang produk atau layanan yang dijual, termasuk fitur, fungsi, dan keunggulannya. Kemudian tetap up-to-date dengan perkembangan teknologi dan produk baru.
 Analisis Kebutuhan Pelanggan
 Berkomunikasi dengan pelanggan untuk memahami kebutuhan dan persyaratan mereka. Lalu menyediakan solusi yang sesuai dengan kebutuhan spesifik pelanggan.
 Presentasi dan Demonstrasi Produk
 Melakukan presentasi dan demonstrasi teknis untuk menunjukkan cara kerja produk dan manfaatnya dan menjelaskan fitur teknis dan menjawab pertanyaan teknis yang diajukan oleh pelanggan potensial.
 Pengembangan Proposal Teknis
 Menyusun proposal teknis yang rinci dan sesuai dengan kebutuhan pelanggan dan berkolaborasi dengan tim internal untuk mengembangkan solusi yang kustomisasi.
 Mendukung Pra-Penjualan
 Menyediakan dukungan teknis selama tahap pra-penjualan untuk membantu tim penjualan menjawab pertanyaan teknis. Salah satunya dengan menyusun spesifikasi teknis dan memberikan saran tentang implementasi produk.
 Negosiasi dan Penutupan Penjualan
 Bekerja sama dengan tim penjualan untuk menegosiasikan kontrak dan persyaratan penjualan dengan cara membantu dalam proses penutupan penjualan dengan menyediakan informasi teknis yang diperlukan.
 Pelatihan dan Edukasi Pelanggan
 Memberikan pelatihan kepada pelanggan tentang cara penggunaan dan pemeliharaan produk dan menyediakan dokumentasi teknis dan panduan penggunaan.
 Dukungan Pasca-Penjualan
 Menyediakan dukungan teknis setelah penjualan untuk memastikan kepuasan pelanggan dan membantu dalam pemecahan masalah teknis serta memberikan solusi jika terjadi masalah.
 Kolaborasi Internal
 Bekerja sama dengan tim pengembangan produk untuk memberikan masukan berdasarkan umpan balik pelanggan. Dan tak lupa Berkolaborasi dengan tim pemasaran untuk mengembangkan materi promosi yang efektif.
 Penelitian dan Analisis Pasar
 Melakukan penelitian pasar untuk memahami tren industri dan kebutuhan pelanggan. Menganalisis produk kompetitor dan memberikan masukan untuk pengembangan produk.";2026-05-19;Karir.com
Sales Expert;PT ARC Teknologi;Jakarta Pusat;Tidak Disebutkan;3 Tahun;Apa Saja;Tidak dicantumkan;"Mampu berkomunikasi dengan jelas, persuasif, dan mendengarkan kebutuhan pelanggan secara aktif. 
 Mampu mengatasi keberatan pelanggan dan mencapai kesepakatan yang saling menguntungkan. Mampu memahami data pasar, mengevaluasi hasil penjualan, dan membuat keputusan strategis. 
 Memiliki pemahaman detail tentang fitur, manfaat, dan aplikasi produk atau layanan yang dijual. 
 Mampu memahami dan merasakan kebutuhan pelanggan untuk membangun hubungan yang baik. 
 Mampu mengidentifikasi masalah pelanggan dan menemukan solusi yang tepat. 
 Mampu mengatur prioritas dan jadwal untuk memaksimalkan produktivitas. 
 Bersedia bekerja dalam lingkungan yang serba cepat dan berfokus untuk membuat perbedaan dalam bisnis. 
 Diutamakan pendidikan di bidang komunikasi atau manajemen, serta pengalaman kerja di bidang penjualan.";"Menjelaskan fitur dan manfaat produk atau layanan kepada calon pelanggan, serta memberikan simulasi biaya dan manfaatnya. 
 Membangun kepercayaan dan hubungan jangka panjang dengan pelanggan, baik pelanggan baru maupun yang sudah ada. 
 Memahami tren industri, kebutuhan pelanggan, dan strategi pesaing untuk merumuskan strategi penjualan yang efektif. 
 Bernegosiasi untuk mencapai kesepakatan yang menguntungkan kedua belah pihak dan meyakinkan pelanggan untuk membeli produk. 
 Mengembangkan rencana penjualan yang mencakup penetapan target, penentuan harga, dan taktik untuk mencapai sasaran. 
 Melakukan demonstrasi produk dan presentasi yang efektif untuk menunjukkan nilai produk atau layanan perusahaan. 
 Mengatur jadwal, menangani berbagai tugas, dan fokus pada kegiatan yang menghasilkan penjualan optimal untuk mencapai target secara efisien.";2026-05-19;Karir.com
Affiliate Onboarding & Activation Manager;PT ARC Teknologi;Jakarta Pusat;Tidak Disebutkan;2 Tahun;S2, S1, Apa Saja;Rp 16.000.000 - Rp 18.000.000;We are seeking an experienced Affiliate Onboarding & Activation Manager to join our team. You will be responsible for managing the onboarding process for new affiliates and developing strategies to activate and improve the performance of affiliate partners. This position is ideal for those with affiliate marketing experience, relationship building skills, and a growth-oriented mindset. Requirements Minimum 2 years of experience in affiliate marketing, business development, or partnerships. Strong verbal and written communication skills. Effective presentation and training skills. Familiarity with data and digital marketing tools. Problem solver, high initiative, and results-oriented. Experience using affiliate platforms (e.g., Impact, Partnerize, Refersion, Rakuten, etc.) is a plus.;Manage the onboarding process for new affiliates from start to finish, ready to actively promote the company's products/services. Develop and optimize onboarding materials (presentations, video tutorials, FAQs, etc.). Provide training and support to new affiliates to ensure their understanding and preparation. Identify onboarding challenges and make periodic process improvements. Develop an affiliate activation strategy: encourage affiliates to be active and productive during the initial period. Monitor the performance of new affiliates, providing insights and motivation towards established targets. Collaborate with the marketing and partnership teams to design incentive programs and communications. Create reports and analyze affiliate onboarding and activation activities.;2026-05-19;Karir.com
Financial Monitoring Specialist;PT ARC Teknologi;Jakarta Pusat;Tidak Disebutkan;1 Tahun;S1;Rp 5.000.000 - Rp 8.000.000;We are seeking a detail-oriented and proactive Financial Monitoring Specialist to join our team. In this role, you will be responsible for overseeing customer activity, verifying transactions, and ensuring that internal processes and financial operations are conducted accurately and efficiently. You will collaborate closely with various departments to maintain compliance and operational integrity. Requirements: Experience in finances is a plus Understanding payment system principles Knowledge of bank operations processes and basic bank operations Good computer skills Experience in working with large amounts of data MS Excel user;"Monitoring customer activity Monitoring and controlling internal processes Daily monitoring and analysis Cooperating with Support Service Checking payments for accuracy User verification Reporting on the work done. Benefit
 
 Holiday allowance
 Annual leave
 Incentives
 Different schedules and different part-time working hours are possible";2026-05-19;Karir.com
Marketing Sales - Surabaya;PT King Sun Indo Utama;Surabaya;Tidak Disebutkan;0 Tahun;S1, D3, SMA;Tidak dicantumkan;"Pendidikan: SMA / D3 / Sarjana S1
 Pengalaman kerja minimal 1 tahun bidang Marketing
 Mempunyai SIM A/C dan kendaraan bermotor
 Mampu bekerja dengan tenggat waktu & berorientasi pada target
 Bisa bekerja dalam teamwork";"Membuat jadwal bertemu dengan customer untuk memasarkan produk
 Menjual dan mempresentasikan produk kepada customer
 Menawarkan produk dan jasa service kepada customer
 Membuat report setelah melakukan kunjungan ke customer
 Memelihara customer yang sudah ada dan mencari customer baru";2026-05-19;Karir.com
HOST LIVE;PT Sinar Pratama Agung;Jakarta Barat;Tidak Disebutkan;1 Tahun;S1, D3, SMA;Rp 3.000.000 - Rp 5.000.000;"Pendidikan min SMK/SMA/D3 semua jurusan, freshgraduate welcome.
 Senang mempelajari strategi pemasaran digital, percaya diri untuk berkomunikasi dengan baik.
 Mampu menggunakan Microsoft Excel untuk pelaporan
 Diutamakan yang pernah berpengalaman menjadi Live Host, Content Creator dan Sosial Media Admin
 ⁠Mahir mengunakan video editing tools seperti Capcut dan Canva
 Percaya diri untuk Live Selling di depan camera dan terbiasa melayani konsumen serta sanggup menjawab pertanyaan pelanggan kurang dari 3 menit
 Komunikatif, creative, bertanggung jawab, jujur dan mandiri
 Bersedia WFO (Full - Time)
 Penempatan kantor di Jakarta Barat";"Melakukan Live Streaming di beberapa Marketplace Membuat dan mengelola konten untuk siaran langsung.
 ⁠Berinteraksi dengan Audiens secara efektif selama siaran.
 Meningkatkan engagement dan jumlah penonton";2026-05-19;Karir.com
Telesales;Perusahaan dirahasiakan;Jakarta Pusat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 4.500.000 - Rp 5.500.000;"Pengalaman dalam penjualan
 Keterampilan komunikasi
 Fokus pada hasil
 Keterampilan mengerjakan banyak tugas sekaligus
 Tanggung jawab dan perhatian terhadap detail
 Kemampuan Bahasa Inggris (min. pasif)
 Pengetahuan tentang dasar-dasar penjualan";"Meningkatkan penjualan di segmen Anda
 Mencari dan menarik klien baru
 Memperluas basis klien
 Mengidentifikasi kebutuhan klien, melakukan negosiasi
 Mempresentasikan produk dan layanan perusahaan kepada klien";2026-05-19;Karir.com
Senior Agronomist Staff;PT Lawencon;Prov. DKI-Jakarta;Tidak Disebutkan;3 Tahun;S1;Tidak dicantumkan;"Willing to be placed in North Tapanuli, North Sumatra, and travel out of town when required.
 Minimum of a Bachelor’s degree in agricultural sciences such as plant science, soil and water management, genetic and nutritional agriculture, biotechnology, or related fields.
 3–4 years of experience in coffee cultivation with a specific focus on plant protection methodology.
 Proficiency in operating and managing various irrigation systems.
 Expertise in Agronomy, including fertilization and pest control.
 Skilled in applying efficient farming methods.
 Strong attention to detail.
 Minimum of 3 years of agronomy work experience.
 In-depth knowledge of soil and plant principles.
 Computer proficiency, especially in MS Office and diagnostic scientific software.
 Excellent research and analytical skills.
 Strong decision-making, critical thinking, and problem-solving skills.
 Effective written and verbal communication skills.
 Excellent active listening and communication skills.";"Focus on diverse plants cultivation, from planting and fertilizing to harvesting.
 Ensure that the plants grow in optimal conditions and that agricultural productivity is maximized.
 Develop better planting, cultivation, and harvesting techniques to improve crop yields.
 Study soil, water, and other factors that affect plant growth.
 Conduct quality control for seed caliber and soil standards.
 Visit fields to collect samples of seeds, plants, and soil.
 Create nutrition plans to schedule fertilizer applications based on soil testing.
 Test samples for nutrient deficiencies, diseases, or other changes.
 Develop treatment plans using chemical, biological, or technological methods (e.g., precision weeding) to keep plants free from pests and weeds.
 Evaluate and improve seed quality.
 Develop planting and irrigation schedules, budgets, and timelines.
 Record information on plant growth and environmental conditions.";2026-05-19;Karir.com
DESIGN GRAFIS;PT Sinar Pratama Agung;Jakarta Barat;Tidak Disebutkan;1 Tahun;S1, D3, SMA;Rp 3.500.000 - Rp 5.500.000;Berpengalaman di industri sejenis Diutamakan wanita usia 20 - 35 tahun Pendidikan : D3/S1;"Diutamakan Graphic Designer dengan pengalaman administrasi dan bisa bekerja dalam team WAJIB menguasai software design dan video editing
 Memiliki kreatifitas untuk membuat ide dan konsep menjadi design/konten visual
 Membuat design sesuai dengan kebutuhan dan menepati deadline yang diberikan
 Screening output dan melakukan revisi terhadap konten visual yang telah selesai dikerjakan";2026-05-19;Karir.com
Guru Magang (untuk Komunitas);PT Lawencon;Prov. DKI-Jakarta;Tidak Disebutkan;0 Tahun;S1;Tidak dicantumkan;"S1 Pendidikan Matematika, Sains, atau MIPA Usia 20–30 tahun.
 Memiliki pengalaman mengajar / teacher intern / shadow teacher.
 Memiliki Latar belakang Mengajar Matematika dan Sains
 Menyukai dunia anak-anak dan kreatif dalam kegiatan belajar sambil bermain.
 Energik, ceria, komunikatif, dan mampu bekerja dalam tim.
 Memiliki motivasi tinggi serta peduli pada pendidikan dan sosial.
 Bersedia WFO di Bintaro Sektor 7, Tangerang Selatan Domisili Tangerang Selatan / Tangerang menjadi nilai tambah.";"Membantu tim utama dalam mengembangkan program pembelajaran anak. Menyusun modul, silabus, dan materi workshop (Bahasa Indonesia / English/Matematika).
 Mengajar dan menyampaikan materi dengan metode yang kreatif dan menyenangkan.
 Menciptakan metode belajar yang efektif sesuai kebutuhan anak-anak.
 Mendukung kegiatan edukasi onsite maupun komunitas.";2026-05-19;Karir.com
